NUM,OLD_NAME_ARCHIVE,SAMPLE_NAME,lab_num,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,primer,target_population,location_name,depth_category,depth,fluid_origin,AXIAL YEAR,lat,long,lat_long,lat_long,description_1,Description_2,DATE
30,149_J21505_BagCity_SUPR_F8013_PES02_18S_S25,AXIAL_23_149_J21505_BagCity_SUPR_vent_F813_PES02_INSITU_18S,149,J21505,BagCity,SUPR,vent,F813,PES02,INSITU,18S,microeukaryote,Bag City,diffuse,1527,F813,AXIAL_23,45.916228,-129.989225,45.916228 N -129.989225 W,45.916228 N -129.989225 W,"Sample collected from the vent, diffuse, at Bag City, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/24/23
31,149b_J21505_BagCity_SUPR_F8013_PES02_16S_S74,AXIAL_23_149b_J21505_BagCity_SUPR_vent_F813_PES02_INSITU_16S,149b,J21505,BagCity,SUPR,vent,F813,PES02,INSITU,16S,prokaryote,Bag City,diffuse,1527,F813,AXIAL_23,45.916228,-129.989225,45.916228 N -129.989225 W,45.916228 N -129.989225 W,"Sample collected from the vent, diffuse, at Bag City, in Axial Seamount. DNA extracted and amplified with 16S primers to target prokaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/24/23
32,150_J21503_Diva_SUPR_F11017_PES02_18S_S29,AXIAL_23_150_J21503_Diva_SUPR_vent_F1117_PES02_INSITU_18S,150,J21503,Diva,SUPR,vent,F1117,PES02,INSITU,18S,microeukaryote,Diva,diffuse,1518,F1117,AXIAL_23,45.926378,-129.979065,45.926378 N -129.979065 W,45.926378 N -129.979065 W,"Sample collected from the vent, diffuse, at Diva, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/22/23
33,150b_J21503_Diva_SUPR_F11017_PES02_16S_S75,AXIAL_23_150b_J21503_Diva_SUPR_vent_F1117_PES02_INSITU_16S,150b,J21503,Diva,SUPR,vent,F1117,PES02,INSITU,16S,prokaryote,Diva,diffuse,1518,F1117,AXIAL_23,45.926378,-129.979065,45.926378 N -129.979065 W,45.926378 N -129.979065 W,"Sample collected from the vent, diffuse, at Diva, in Axial Seamount. DNA extracted and amplified with 16S primers to target prokaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/22/23
34,151_J21506_Gollum_SUPR_F12007_PES02_18S_S30,AXIAL_23_151_J21506_Gollum_SUPR_vent_F1207_PES02_INSITU_18S,151,J21506,Gollum,SUPR,vent,F1207,PES02,INSITU,18S,microeukaryote,Gollum,diffuse,1539,F1207,AXIAL_23,45.93353198,-130.0132774,45.93353198 N -130.0132774 W,45.93353198 N -130.0132774 W,"Sample collected from the vent, diffuse, at Gollum, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/25/23
35,151b_J21506_Gollum_SUPR_F12007_PES02_16S_S76,AXIAL_23_151b_J21506_Gollum_SUPR_vent_F1207_PES02_INSITU_16S,151b,J21506,Gollum,SUPR,vent,F1207,PES02,INSITU,16S,prokaryote,Gollum,diffuse,1539,F1207,AXIAL_23,45.93353198,-130.0132774,45.93353198 N -130.0132774 W,45.93353198 N -130.0132774 W,"Sample collected from the vent, diffuse, at Gollum, in Axial Seamount. DNA extracted and amplified with 16S primers to target prokaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/25/23
36,152_J21501_Mkr113_UFO_F2014_sterivex_18S_S31,AXIAL_23_152_J21501_Mkr113_UFO_vent_F214_sterivex_INSITU_18S,152,J21501,Mkr113,UFO,vent,F214,sterivex,INSITU,18S,microeukaryote,Marker 113,diffuse,1519,F214,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Marker 113, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/20/23
37,153_J21501_Mkr113_Niskin_N1N2N3_PES02_18S_S32,AXIAL_23_153_J21501_Mkr113_CTD_vent_N1N2N3_PES02_SHIPBOARD_18S,153,J21501,Mkr113,CTD,vent,N1N2N3,PES02,SHIPBOARD,18S,microeukaryote,Marker 113,above vent,1516,N1N2N3,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, above vent, at Marker 113, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/20/23
38,154_J21505_Mkr113_SUPR_F12006_PES02_18S_S33,AXIAL_23_154_J21505_Mkr113_SUPR_vent_F1206_PES02_INSITU_18S,154,J21505,Mkr113,SUPR,vent,F1206,PES02,INSITU,18S,microeukaryote,Marker 113,diffuse,1519,F1206,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Marker 113, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/24/23
39,154b_J21505_Mkr113_SUPR_F12006_PES02_16S_S85,AXIAL_23_154b_J21505_Mkr113_SUPR_vent_F1206_PES02_INSITU_16S,154b,J21505,Mkr113,SUPR,vent,F1206,PES02,INSITU,16S,prokaryote,Marker 113,diffuse,1519,F1206,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Marker 113, in Axial Seamount. DNA extracted and amplified with 16S primers to target prokaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/24/23
40,155_J21504_Mkr113_SUPR_F11_PES02_18S_S34,AXIAL_23_155_J21504_Mkr33_SUPR_vent_F1112_PES02_INSITU_18S,155,J21504,Mkr33,SUPR,vent,F1112,PES02,INSITU,18S,microeukaryote,Marker 33,diffuse,1512,F1112,AXIAL_23,45.933121,-129.982332,45.933121 N -129.982332 W,45.933121 N -129.982332 W,"Sample collected from the vent, diffuse, at Marker 33, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/23/23
41,155b_J21504_Mkr113_SUPR_F11_PES02_16S_S86,AXIAL_23_155b_J21504_Mkr33_SUPR_vent_F1112_PES02_INSITU_16S,155b,J21504,Mkr33,SUPR,vent,F1112,PES02,INSITU,16S,prokaryote,Marker 33,diffuse,1512,F1112,AXIAL_23,45.933121,-129.982332,45.933121 N -129.982332 W,45.933121 N -129.982332 W,"Sample collected from the vent, diffuse, at Marker 33, in Axial Seamount. DNA extracted and amplified with 16S primers to target prokaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/23/23
42,156_CTD002_ASHES_oxycline_375_PES02_18S_S35,AXIAL_23_156_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,156,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,18S,microeukaryote,ASHES,oxycline,375,Niskin,AXIAL_23,45.933497,-130.013489,45.933497 N -130.013489 W,45.933497 N -130.013489 W,"Sample collected from the plume, oxycline, at ASHES, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/19/23
43,157_J21506_SoupyBSW_SUPR_F2005_GFF_18S_S36,AXIAL_23_157_J21506_SoupyBSW_SUPR_background_F205_GFF_INSITU_18S,157,J21506,SoupyBSW,SUPR,background,F205,GFF,INSITU,18S,microeukaryote,Soupy background,background,1539,F205,AXIAL_23,45.93342603,-130.0132852,45.93342603 N -130.0132852 W,45.93342603 N -130.0132852 W,"Sample collected from the background, background, at Soupy background, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/25/23
44,158_CTD002_ASHES_UnderPlume_1530_PES02_18S_S26,AXIAL_23_158_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,158,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,18S,microeukaryote,ASHES,under plume,1530,Niskin,AXIAL_23,45.933497,-130.013489,45.933497 N -130.013489 W,45.933497 N -130.013489 W,"Sample collected from the plume, under plume, at ASHES, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/19/23
45,159_J21506_SoupyBSW_SUPR_F1012_PES0_2_18S_S27,AXIAL_23_159_J21506_SoupyBSW_SUPR_background_F112_PES02_INSITU_18S,159,J21506,SoupyBSW,SUPR,background,F112,PES02,INSITU,18S,microeukaryote,Soupy background,background,1535,F112,AXIAL_23,45.93324609,-130.0138241,45.93324609 N -130.0138241 W,45.93324609 N -130.0138241 W,"Sample collected from the background, background, at Soupy background, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/25/23
46,160_J21504_Background_UFO_F7016_sterivex_18S_S28,AXIAL_23_160_J21504_Background_UFO_background_F716_sterivex_INSITU_18S,160,J21504,Background,UFO,background,F716,sterivex,INSITU,18S,microeukaryote,Background,background,1300,F716,AXIAL_23,45.9334015,-129.981957,45.9334015 N -129.981957 W,45.9334015 N -129.981957 W,"Sample collected from the background, background, at Background, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/23/23
47,161_CTD004_IntlDist_PeakPlume_1498_sterivex_18S_S37,AXIAL_23_161_CTD004_IntlDist_CTD_plume_Niskin_sterivex_SHIPBOARD_18S,161,CTD004,IntlDist,CTD,plume,Niskin,sterivex,SHIPBOARD,18S,microeukaryote,International District,peak plume,1498,Niskin,AXIAL_23,45.92638333,-129.9799667,45.92638333 N -129.9799667 W,45.92638333 N -129.9799667 W,"Sample collected from the plume, peak plume, at International District, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/22/23
48,162_J21503_Diva_SUPR_F12014_PES02_18S_S41,AXIAL_23_162_J21503_Diva_SUPR_vent_F1214_PES02_INSITU_18S,162,J21503,Diva,SUPR,vent,F1214,PES02,INSITU,18S,microeukaryote,Diva,diffuse,1518,F1214,AXIAL_23,45.926378,-129.979065,45.926378 N -129.979065 W,45.926378 N -129.979065 W,"Sample collected from the vent, diffuse, at Diva, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/22/23
49,162b_J21503_Diva_SUPR_F12014_PES02_16S_S87,AXIAL_23_162b_J21503_Diva_SUPR_vent_F1214_PES02_INSITU_16S,162b,J21503,Diva,SUPR,vent,F1214,PES02,INSITU,16S,prokaryote,Diva,diffuse,1518,F1214,AXIAL_23,45.926378,-129.979065,45.926378 N -129.979065 W,45.926378 N -129.979065 W,"Sample collected from the vent, diffuse, at Diva, in Axial Seamount. DNA extracted and amplified with 16S primers to target prokaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/22/23
50,163_0_ControlTreatment_0_shipboard_PES02_18S_S42,AXIAL_23_163_Control_ControlTreatment_Lab_control_shipboard_PES02_SHIPBOARD_CTRL,163,Control,ControlTreatment,Lab,control,shipboard,PES02,SHIPBOARD,CTRL,microeukaryote,Lab control,control,0,shipboard,AXIAL_23,na,,na,na,"Sample collected from the control, control, at Lab control, in Axial Seamount. DNA extracted and amplified with CTRL primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",na
51,164_J21502_Mkr33_UFO_F8_sterivex_18S_S43,AXIAL_23_164_J21502_Mkr33_UFO_vent_F8_sterivex_INSITU_18S,164,J21502,Mkr33,UFO,vent,F8,sterivex,INSITU,18S,microeukaryote,Marker 33,diffuse,1510,F8,AXIAL_23,45.933121,-129.982332,45.933121 N -129.982332 W,45.933121 N -129.982332 W,"Sample collected from the vent, diffuse, at Marker 33, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/21/23
52,165_CTD002_ASHES_30m_1467_PES02_18S_S44,AXIAL_23_165_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,165,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,18S,microeukaryote,ASHES,30m above,1467,Niskin,AXIAL_23,45.933497,-130.013489,45.933497 N -130.013489 W,45.933497 N -130.013489 W,"Sample collected from the plume, 30m above, at ASHES, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/19/23
53,166_CTD004_IntlDist_30m_1459_PES02_18S_S45,AXIAL_23_166_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,166,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,18S,microeukaryote,International District,30m above,1459,Niskin,AXIAL_23,45.92638333,-129.9799667,45.92638333 N -129.9799667 W,45.92638333 N -129.9799667 W,"Sample collected from the plume, 30m above, at International District, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 16S rRNA primers to target the prokaryotepopulation.",7/22/23
54,167_J21500_Anemone_UFO_F101_sterivex_18S_S46,AXIAL_23_167_J21500_Anemone_UFO_vent_F101_sterivex_INSITU_18S,167,J21500,Anemone,UFO,vent,F101,sterivex,INSITU,18S,microeukaryote,Anemone,diffuse,1539,F101,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/19/23
55,168_J21500_Anemone_UFO_F303_sterivex_18S_S47,AXIAL_23_168_J21500_Anemone_UFO_vent_F203_sterivex_INSITU_18S,168,J21500,Anemone,UFO,vent,F203,sterivex,INSITU,18S,microeukaryote,Anemone,diffuse,1539,F203,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/19/23
56,169_J21500_Anemone_UFO_BgreenBblueByellow_sterivex_18S_S48,AXIAL_23_169_J21500_Anemone_UFO_vent_BgreenBblueByellow_sterivex_SHIPBOARD_18S,169,J21500,Anemone,UFO,vent,BgreenBblueByellow,sterivex,SHIPBOARD,18S,microeukaryote,Anemone,diffuse,1538,BgreenBblueByellow,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 16S rRNA primers to target the prokaryotepopulation.",7/19/23
57,170_J21500_Anemone_UFO_Bbrownbred_sterivex_18S_S38,AXIAL_23_170_J21500_Anemone_UFO_vent_Bbrownbred_sterivex_SHIPBOARD_18S,170,J21500,Anemone,UFO,vent,Bbrownbred,sterivex,SHIPBOARD,18S,microeukaryote,Anemone,diffuse,1539,Bbrownbred,AXIAL_23,45.933592,-130.014068,45.933592 N -130.014068 W,45.933592 N -130.014068 W,"Sample collected from the vent, diffuse, at Anemone, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/19/23
58,171_J21505_BagCity_SUPR_F914_GFF_18S_S39,AXIAL_23_171_J21505_BagCity_SUPR_vent_F914_GFF_INSITU_18S,171,J21505,BagCity,SUPR,vent,F914,GFF,INSITU,18S,microeukaryote,Bag City,diffuse,1527,F914,AXIAL_23,45.916228,-129.989225,45.916228 N -129.989225 W,45.916228 N -129.989225 W,"Sample collected from the vent, diffuse, at Bag City, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 18S rRNA primers to target the microeukaryotepopulation.",7/24/23
59,172_J21505_BagCity_SUPR_F1015_GFF_18S_S40,AXIAL_23_172_J21505_BagCity_SUPR_vent_F1015_GFF_INSITU_18S,172,J21505,BagCity,SUPR,vent,F1015,GFF,INSITU,18S,microeukaryote,Bag City,diffuse,1527,F1015,AXIAL_23,45.916228,-129.989225,45.916228 N -129.989225 W,45.916228 N -129.989225 W,"Sample collected from the vent, diffuse, at Bag City, in Axial Seamount. DNA extracted and amplified with 18S primers to target microeukaryote populations.","Amplicon tag-sequencing from Axial Seamount using , 16S rRNA primers to target the prokaryotepopulation.",7/24/23
